"id_messpunkt";"epoche";"dayofweek";"hourofday"
46357;7;0;20
46357;17;1;5
46357;6;1;7
46357;7;1;7
46357;6;1;10
46357;6;1;11
46357;6;1;13
46357;6;1;14
46357;6;1;15
46357;6;1;16
46357;8;1;16
46357;9;1;16
46357;6;1;17
46357;7;1;17
46357;6;1;18
36377;7;2;0
46357;6;2;7
46357;7;2;7
46357;6;2;9
46357;6;2;11
46357;6;2;12
46357;6;2;13
46357;6;2;14
46357;6;2;15
46357;8;2;15
46357;6;2;16
46357;6;2;17
46357;9;2;17
46357;6;2;18
46357;7;2;18
46357;6;3;7
46357;7;3;7
36377;6;3;11
46357;6;3;11
46357;7;3;11
36377;7;3;13
46357;7;3;13
46357;6;3;15
46357;7;3;15
46357;6;3;16
46357;6;3;17
46357;10;3;17
46357;8;3;18
46357;9;3;18
46357;6;3;20
36377;6;3;23
46357;6;4;6
34143;6;4;7
46357;6;4;7
34143;7;4;7
46357;7;4;7
34143;8;4;7
34143;9;4;7
46357;6;4;9
46357;7;4;9
46357;8;4;9
46357;7;4;10
46357;8;4;10
46357;6;4;11
46357;6;4;12
46357;7;4;14
46357;6;4;15
46357;7;4;16
46357;7;4;17
46357;9;4;17
46357;11;4;17
46357;10;4;18
46357;6;5;6
46357;6;5;7
46357;7;5;7
46357;6;5;8
46357;7;5;11
46357;6;5;16
46357;8;5;16
46357;6;5;17
46357;7;5;17
34143;6;5;19
46357;6;5;20
46357;6;5;21
46357;9;6;2
46357;10;6;2
46357;6;6;18
46357;6;6;22
46357;6;6;23
