Messpunkt	Verspaetung	Tag	Stunde
46358	13	1	6
46358	13	1	6
42661	6	1	7
42661	6	1	7
48107	6	1	7
48107	6	1	7
42661	10	1	8
42661	9	1	8
46343	6	1	8
46343	6	1	8
48107	6	1	11
48107	6	1	11
46343	6	1	11
46343	6	1	11
42661	11	1	13
42661	11	1	13
46343	11	1	14
46343	11	1	14
46343	7	1	14
46343	7	1	14
46343	7	1	15
46343	7	1	15
46343	9	1	15
46343	9	1	15
46343	6	1	16
46343	6	1	16
46343	6	1	16
46343	6	1	16
46343	6	1	16
46343	6	1	16
46343	8	1	17
46343	8	1	17
48107	6	1	17
46343	6	1	17
46343	6	1	17
42661	8	1	17
42661	8	1	17
46343	6	1	17
46343	6	1	17
48107	6	1	17
48107	6	1	17
42661	6	2	7
48107	8	2	7
48107	8	2	7
42661	6	2	8
48107	6	2	8
48107	6	2	8
48107	6	2	8
46343	6	2	10
46343	6	2	10
46343	6	2	11
46343	6	2	11
48107	6	2	11
42661	8	2	12
42661	9	2	12
46343	7	2	12
46343	7	2	12
48107	6	2	16
48107	6	2	16
42661	7	2	16
42661	7	2	16
42661	7	2	16
42661	6	2	16
48107	8	2	16
48107	8	2	16
46343	7	2	17
46343	7	2	17
48107	6	2	17
48107	6	2	17
42661	8	2	17
42661	8	2	17
46358	7	2	17
42661	6	2	17
42661	6	2	17
46343	6	2	17
46343	6	2	17
48107	6	3	6
48107	6	3	6
42661	6	3	7
42661	6	3	7
42661	6	3	7
42661	6	3	8
42661	6	3	8
48107	9	3	8
48107	9	3	8
42661	6	3	8
42661	6	3	8
46343	6	3	8
46343	6	3	8
46343	6	3	9
46343	6	3	9
48107	6	3	14
48107	6	3	14
42661	6	3	15
42661	7	3	15
48107	8	3	15
48107	8	3	15
46343	6	3	16
46343	6	3	16
46343	8	3	16
46343	8	3	16
46343	6	3	16
46343	6	3	16
46343	8	3	17
46343	8	3	17
46343	8	3	17
46343	8	3	17
48107	6	3	17
42661	7	3	17
42661	7	3	17
46358	6	3	17
46358	6	3	17
46343	6	3	17
46343	6	3	17
46343	6	3	17
46343	6	3	17
42661	7	3	18
42661	6	3	18
48107	6	3	18
48107	6	3	18
48107	6	4	6
42661	6	4	6
48107	6	4	6
48107	7	4	6
42661	6	4	7
42661	6	4	7
48107	6	4	7
48107	6	4	7
48107	10	4	7
48107	10	4	7
42661	9	4	7
42661	10	4	7
48107	7	4	7
42661	11	4	8
42661	11	4	8
48107	6	4	10
48107	6	4	10
46343	6	4	10
46343	6	4	10
46358	10	4	11
46358	6	4	11
42661	6	4	13
46343	7	4	14
46343	7	4	14
46343	8	4	16
46343	8	4	16
46343	6	4	17
46343	7	4	17
48107	6	4	17
48107	6	4	17
42661	8	4	17
42661	8	4	17
46358	14	4	17
42661	7	4	17
42661	7	4	17
46343	11	4	17
46343	11	4	17
48107	6	4	17
48107	6	4	17
46343	8	4	18
46343	8	4	18
46358	6	4	18
46343	6	4	18
48107	6	4	18
42661	6	4	18
48107	11	4	18
48107	11	4	18
42661	7	5	6
42661	6	5	6
48107	6	5	6
48107	6	5	6
42661	7	5	7
42661	7	5	7
48107	8	5	7
48107	8	5	7
48107	6	5	8
48107	6	5	8
42661	7	5	8
42661	7	5	8
46343	6	5	13
46343	6	5	13
42661	6	5	13
42661	6	5	16
46343	7	5	16
46343	7	5	16
46343	7	5	16
46343	7	5	16
48107	6	5	16
46343	6	5	16
46343	6	5	16
46343	7	5	16
46343	7	5	16
42661	6	5	16
42661	6	5	16
48107	7	5	16
48107	6	5	16
46358	6	5	17
46343	6	5	17
46343	6	5	17
48107	6	5	17
48107	7	5	17
46343	6	5	17
42661	6	5	17
42661	6	5	17
42661	6	5	17
42661	6	5	17
46343	6	5	17
46343	6	5	17
48107	9	5	17
48107	9	5	17
48107	6	5	18
48107	6	5	18
46343	22	5	19
46343	22	5	19
46343	7	5	20
46343	7	5	20
42661	8	5	20
42661	7	5	20
48107	9	5	20
48107	8	5	20
42661	6	5	21
46358	14	6	1
48107	6	6	15
48107	7	6	15
