Pünktlichkeit (Einzelmessungen);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Parameter:;;;;;;;;;;;;;;;
Wettbewerbsnetz: agilis-Mitte (agM), ;;;;;;;;;;;;;;;
Datum von: 22.02.2016;;;;;;;;;;;;;;;
Datum von: 28.02.2016;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DS100;Messstelle;Datum;Zug;Soll Ank;Ist Ank;Delta;Soll Abf;Ist Abf;Delta;Ist GI;Status Ank;Status Abf;Von  Bhf;Nach Bhf;
NST;Straubing;22.02.2016;79370;;;;16:53:30;16:53:42;00:00:12;Gl. 002;Gl. 002;;Plan (-00:00:59 bis 00:00:59);NST;MDT
NRA;Radldorf (Nbay);22.02.2016;79370;16:59:24;16:59:20;-00:00:04;16:59:54;16:59:26;-00:00:28;Gl. 011;Gl. 011;Plan (bis 00:00:59);Plan (-00:00:59 bis 00:00:59);NST;MDT
NOT;Obertraubling;22.02.2016;79370;17:14:12;17:12:45;-00:01:27;17:14:42;17:14:27;-00:00:15;Gl. 002;Gl. 002;Plan (bis 00:00:59);Plan (-00:00:59 bis 00:00:59);NST;MDT
NRH;Regensburg Hbf;22.02.2016;79370;17:23:24;17:25:01;00:01:37;17:28:12;17:29:01;00:00:49;Gl. 004;Gl. 004;Leicht verspätet (00:01:00 bis 00:05:59);Plan (-00:00:59 bis 00:00:59);NST;MDT
MIH;Ingolstadt Hbf;22.02.2016;79370;18:35:00;18:38:40;00:03:40;18:41:24;18:44:33;00:03:09;Gl. 005;Gl. 005;Leicht verspätet (00:01:00 bis 00:05:59);Leicht verspätet (00:01:00 bis 00:05:59);NST;MDT
MDT;Donauwörth;22.02.2016;79370;19:20:00;19:21:37;00:01:37;;;;Gl. 070;Gl. 070;Leicht verspätet (00:01:00 bis 00:05:59);;NST;MDT
NST;Straubing;23.02.2016;79370;;;;16:53:30;16:53:34;00:00:04;Gl. 002;Gl. 002;;Plan (-00:00:59 bis 00:00:59);NST;NPL
NRA;Radldorf (Nbay);23.02.2016;79370;16:59:24;16:59:31;00:00:07;16:59:54;16:59:49;-00:00:05;Gl. 011;Gl. 011;Plan (bis 00:00:59);Plan (-00:00:59 bis 00:00:59);NST;NPL
NOT;Obertraubling;23.02.2016;79370;17:14:12;17:13:52;-00:00:20;17:14:42;17:14:31;-00:00:11;Gl. 002;Gl. 002;Plan (bis 00:00:59);Plan (-00:00:59 bis 00:00:59);NST;NPL
NRH;Regensburg Hbf;23.02.2016;79370;17:23:24;17:25:11;00:01:47;17:28:12;17:29:33;00:01:21;Gl. 004;Gl. 004;Leicht verspätet (00:01:00 bis 00:05:59);Leicht verspätet (00:01:00 bis 00:05:59);NST;NRH
