Filter;;;;;;;;;
Datum von:;06.03.2016;;;;;;;;
Datum bis:;06.03.2016;;;;;;;;
Stand:;07.03.2016 16:51:32;;;;;;;;
;;;;;;;;;
Zugnummer;Linie;Betriebstag;Ursachencode;Ursachen Bezeichnung;Ort;Ort Bezeichung;Uhrzeit;Verspätungsminuten;Verursacher Zugnr.
39220;S1FR-;06.03.2016;93;Wende;NHS;Hartmannshof;0:05:00;2;39217
59599;RB121B+;06.03.2016;51;Antrag EVU;MTZ;Tutzing;0:09:00;6;8631
84217;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NRH;Regensburg Hbf;0:11:00;2;1
3580;SF3BY+;06.03.2016;93;Wende;NSCH;Schwandorf;0:17:00;7;3579
8126;S1BY-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MRP;München Rosenheimer Platz;0:18:00;2;
29380;RE40FR+;06.03.2016;54;Verkehrliche Zugvorbereitung;NLF;Lichtenfels;0:23:00;5;29380
39490;S4FR+;06.03.2016;57;Keine Meldung durch EVU;NN;Nürnberg Hbf;0:23:00;2;39490
84322;AG2+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NRH;Regensburg Hbf;0:23:00;2;84120
84378;AG2+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NRH;Regensburg Hbf;0:27:00;3;84322
8226;S30BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MDA;Dachau Bahnhof;0:36:00;2;
3582;SF3BY+;06.03.2016;57;Keine Meldung durch EVU;NRWU;Regensburg-Wutzlhofen;0:40:00;2;3582
58173;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;NWH;Würzburg Hbf;0:40:00;3;
8630;S6BY-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MOP;München Ost Pbf;0:45:00;2;8230
39392;S3FR-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;NOK;Ochenbruck;0:47:00;3;39391
4638;;06.03.2016;57;Keine Meldung durch EVU;NVE;Veitshöchheim;0:47:00;2;4638
8330;S3BY-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MOP;München Ost Pbf;0:49:00;2;8730
8008;S2BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MONH;Ottenhofen (Oberbay);0:52:00;2;
8434;S4BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MEG;Ebersberg (Oberbay);0:53:00;2;
8431;S4BY+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MLEU;München Leuchtenbergring;0:54:00;2;
57174;;06.03.2016;95;Flügeln;MA;Augsburg Hbf;0:55:00;2;57054
57610;RE30BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MBU;Buchloe;0:57:00;2;
8133;S1BY+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MOP;München Ost Pbf;1:11:00;3;
39694;S2FR-;06.03.2016;51;Antrag EVU;NN;Nürnberg Hbf;1:13:00;12;39694
84122;ALXN+;06.03.2016;31;Bauarbeiten;MEGM;Eggmühl;1:20:00;2;
8832;S8BY-;06.03.2016;31;Bauarbeiten;MOP H;München Ost Hultschinerstraße;1:21:00;8;
39220;S1FR-;06.03.2016;57;Keine Meldung durch EVU;NBD;Baiersdorf;1:22:00;2;39220
8243;S2BY+;06.03.2016;50;Haltezeitüberschreitung;MAMT;Altomünster;1:23:00;2;8243
8008;S2BY-;06.03.2016;31;Bauarbeiten;MRI P;München-Riem Pbf;1:26:00;13;
8846;S8BY-;06.03.2016;2;Pseudominuten;MP  R;München-Pasing Weiche 352;1:27:00;2;
8334;S3BY-;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;1:29:00;2;8734
39227;S1FR+;06.03.2016;31;Bauarbeiten;NBD;Baiersdorf;1:32:00;37;
8134;S1BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOP;München Ost Pbf;1:38:00;4;
4638;;06.03.2016;31;Bauarbeiten;NHEI;Heigenbrücken;1:52:00;11;
8440;S4BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MEG;Ebersberg (Oberbay);1:53:00;3;8433
8008;S2BY-;06.03.2016;50;Haltezeitüberschreitung;MMHG;München Hirschgarten             (Plang);1:54:00;2;8008
8134;S1BY-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MMHG;München Hirschgarten             (Plang);1:55:00;2;8008
8836;S8BY-;06.03.2016;31;Bauarbeiten;MOP H;München Ost Hultschinerstraße;1:55:00;3;
57080;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MH;München Hbf;2:02:00;2;
8836;S8BY-;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;2:03:00;2;
39227;S1FR+;06.03.2016;59;Sonstige verkehrliche Gründe EVU;NN;Nürnberg Hbf;2:09:00;2;39227
8243;S2BY+;06.03.2016;50;Haltezeitüberschreitung;MDA;Dachau Bahnhof;2:12:00;2;8243
8234;S30BY-;06.03.2016;95;Flügeln;MDA;Dachau Bahnhof;2:13:00;19;8008
8134;S1BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOSM;Oberschleißheim;2:15:00;4;
8140;S1BY-;06.03.2016;31;Bauarbeiten;MSTH;München-Steinhausen;2:27:00;2;
8640;S6BY-;06.03.2016;50;Haltezeitüberschreitung;MMHG;München Hirschgarten             (Plang);2:40:00;2;8640
8641;S6BY+;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;2:40:00;2;
8440;S4BY-;06.03.2016;31;Bauarbeiten;MBAL;München-Berg am Laim;2:43:00;17;
8641;S6BY+;06.03.2016;31;Bauarbeiten;MLEU;München Leuchtenbergring;2:45:00;2;
8440;S4BY-;06.03.2016;31;Bauarbeiten;MLEU;München Leuchtenbergring;2:49:00;4;
8243;S2BY+;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;2:51:00;8;
8443;S4BY+;06.03.2016;31;Bauarbeiten;MIT;München Isartor;2:52:00;7;
8843;S8BY+;06.03.2016;31;Bauarbeiten;MRP;München Rosenheimer Platz;2:52:00;10;8243
8243;S2BY+;06.03.2016;31;Bauarbeiten;MBAL;München-Berg am Laim;3:00:00;5;
8843;S8BY+;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;3:01:00;6;
8443;S4BY+;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;3:02:00;7;8843
8443;S4BY+;06.03.2016;31;Bauarbeiten;MLEU;München Leuchtenbergring;3:07:00;3;
8243;S2BY+;06.03.2016;31;Bauarbeiten;MRI W;München-Riem West;3:10:00;8;
8443;S4BY+;06.03.2016;31;Bauarbeiten;MLEU;München Leuchtenbergring;3:14:00;6;
59110;RE56+;06.03.2016;57;Keine Meldung durch EVU;MGHF;Gersthofen;3:25:00;2;59110
6902;S1ABY+;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;3:38:00;3;
59110;RE56+;06.03.2016;57;Keine Meldung durch EVU;MMTG;Mertingen Bahnhof;3:55:00;3;59110
6106;S1BY-;06.03.2016;31;Bauarbeiten;MOP;München Ost Pbf;4:18:00;4;
6809;S8BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MLEU;München Leuchtenbergring;4:30:00;2;
6808;S8BY-;06.03.2016;31;Bauarbeiten;MOP H;München Ost Hultschinerstraße;4:33:00;2;
59143;;06.03.2016;57;Keine Meldung durch EVU;NN;Nürnberg Hbf;4:41:00;2;59143
84168;ALXS+;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;MIMS;Immenstadt;4:50:00;2;
6813;S8BY+;06.03.2016;64;Triebfahrzeuge;MPB;München-Pasing Bbf;5:00:00;17;
3400;RB44-;06.03.2016;57;Keine Meldung durch EVU;NBY;Bayreuth Hbf;5:03:00;3;3400
6906;S1ABY+;06.03.2016;95;Flügeln;MNF;Neufahrn (b Freising);5:04:00;5;6106
6712;S7BY-;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MOP;München Ost Pbf;5:06:00;2;
4981;RE42-;06.03.2016;54;Verkehrliche Zugvorbereitung;LH;Halle (Saale) Hbf;5:12:00;12;
4591;;06.03.2016;31;Bauarbeiten;NLA;Laufach;5:15:00;2;
6219;S2BY+;06.03.2016;95;Flügeln;MDA;Dachau Bahnhof;5:34:00;4;8001
3003;RE53+;06.03.2016;57;Keine Meldung durch EVU;NN;Nürnberg Hbf;5:37:00;2;3003
57435;RE30AS-;06.03.2016;54;Verkehrliche Zugvorbereitung;MBU;Buchloe;5:37:00;4;57435
23361;RE781R-;06.03.2016;50;Haltezeitüberschreitung;NAH;Aschaffenburg Hbf;5:41:00;2;23361
59502;RE12-;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MWH;Weilheim (Oberbay);5:42:00;2;
57631;;06.03.2016;50;Haltezeitüberschreitung;MKMZ;Kellmünz;5:47:00;2;57631
4591;;06.03.2016;31;Bauarbeiten;NWI;Wiesthal;5:48:00;23;
59233;;06.03.2016;57;Keine Meldung durch EVU;MMB;Moosburg;5:54:00;2;59233
79458;MER2-;06.03.2016;0;Fehlende Begründung (nur bei Leitsystemen der Betriebsführun;XAKN;Kufstein;5:54:00;2;484
6225;S2BY+;06.03.2016;2;Pseudominuten;MAMT;Altomünster;5:55:00;3;
57630;;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MM;Memmingen;5:58:00;2;57631
6617;S6BY+;06.03.2016;91;Zugfolge - wegen Vorrang anderer Züge;MRP;München Rosenheimer Platz;5:59:00;3;6717
6717;S7BY+;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MOP;München Ost Pbf;5:59:00;3;
4980;;06.03.2016;29;Sonstiges Technik Netz;NKUE;Küps;6:02:00;5;
59423;RE12+;06.03.2016;19;Sonstiges Betrieb Netz;MGP;Garmisch-Partenkirchen;6:02:00;2;
57894;;06.03.2016;92;Zugfolge - betroffener Zug war verspätet;MA;Augsburg Hbf;6:05:00;2;59405
